format_folder,format,model_path,pass,image_index,image,latency_ms,fps,cpu_percent,rss_before_mb,rss_after_mb,temperature_c,ground_truth_count,predicted_count,absolute_count_error,completely_exposed_count,half_buried_count
03_tflite_fp32,LiteRT/TFLite FP32,/home/tanishk/rock_edge_project/02_selected_model/03_tflite_fp32/03_yolov8n_LiteRT_FP32.tflite,1,1,EDGE_TEST_001_image_002_20794bef_640x640.jpg,139.55670600000758,7.165546025426723,72.7,863.3125,863.328125,50.15,1,1,0,1,0
03_tflite_fp32,LiteRT/TFLite FP32,/home/tanishk/rock_edge_project/02_selected_model/03_tflite_fp32/03_yolov8n_LiteRT_FP32.tflite,1,2,EDGE_TEST_002_image_004_d61d9fff_640x640.jpg,143.48255900000595,6.969488187062224,73.2,864.84375,867.4375,50.7,1,1,0,1,0
03_tflite_fp32,LiteRT/TFLite FP32,/home/tanishk/rock_edge_project/02_selected_model/03_tflite_fp32/03_yolov8n_LiteRT_FP32.tflite,1,3,EDGE_TEST_003_image_008_dccce67e_640x640.jpg,141.35706299998674,7.074283935851821,70.7,867.4375,867.546875,51.25,1,1,0,1,0
03_tflite_fp32,LiteRT/TFLite FP32,/home/tanishk/rock_edge_project/02_selected_model/03_tflite_fp32/03_yolov8n_LiteRT_FP32.tflite,1,4,EDGE_TEST_004_image_014_451c0409_640x640.jpg,141.05134900000849,7.089616704055342,70.7,867.546875,867.546875,51.25,1,1,0,1,0
03_tflite_fp32,LiteRT/TFLite FP32,/home/tanishk/rock_edge_project/02_selected_model/03_tflite_fp32/03_yolov8n_LiteRT_FP32.tflite,1,5,EDGE_TEST_005_image_018_aec5c6c0_640x640.jpg,140.97518500000206,7.093446977920159,70.9,867.546875,867.546875,50.7,1,1,0,1,0
03_tflite_fp32,LiteRT/TFLite FP32,/home/tanishk/rock_edge_project/02_selected_model/03_tflite_fp32/03_yolov8n_LiteRT_FP32.tflite,1,6,EDGE_TEST_006_image_021_f416e021_640x640.jpg,141.14490299999716,7.08491754746553,70.9,867.546875,867.546875,52.35,1,1,0,1,0
03_tflite_fp32,LiteRT/TFLite FP32,/home/tanishk/rock_edge_project/02_selected_model/03_tflite_fp32/03_yolov8n_LiteRT_FP32.tflite,1,7,EDGE_TEST_007_image_024_9edd3cd5_640x640.jpg,140.1662819999956,7.134383431815873,70.2,867.546875,867.6875,52.35,1,0,1,0,0
03_tflite_fp32,LiteRT/TFLite FP32,/home/tanishk/rock_edge_project/02_selected_model/03_tflite_fp32/03_yolov8n_LiteRT_FP32.tflite,1,8,EDGE_TEST_008_image_035_d26df087_640x640.jpg,140.1730420000149,7.134039368282338,70.9,867.6875,867.6875,52.35,1,0,1,0,0
03_tflite_fp32,LiteRT/TFLite FP32,/home/tanishk/rock_edge_project/02_selected_model/03_tflite_fp32/03_yolov8n_LiteRT_FP32.tflite,1,9,EDGE_TEST_009_image_049_260ef98f_640x640.jpg,141.2902509999867,7.077629156452515,70.2,867.6875,867.6875,52.35,1,1,0,1,0
03_tflite_fp32,LiteRT/TFLite FP32,/home/tanishk/rock_edge_project/02_selected_model/03_tflite_fp32/03_yolov8n_LiteRT_FP32.tflite,1,10,EDGE_TEST_010_image_052_44122540_640x640.jpg,143.18282799996496,6.984077727534791,71.2,867.6875,867.6875,51.25,1,1,0,1,0
