format_folder,format,model_path,pass,image_index,image,latency_ms,fps,cpu_percent,rss_before_mb,rss_after_mb,temperature_c,ground_truth_count,predicted_count,absolute_count_error,completely_exposed_count,half_buried_count
04_tflite_int8,LiteRT/TFLite INT8,/home/tanishk/rock_edge_project/02_selected_model/04_tflite_int8/04_yolov8n_LiteRT_INT8.tflite,1,1,EDGE_TEST_001_image_002_20794bef_640x640.jpg,43.222937999985334,23.135863647222205,64.7,819.03125,819.421875,46.85,1,1,0,1,0
04_tflite_int8,LiteRT/TFLite INT8,/home/tanishk/rock_edge_project/02_selected_model/04_tflite_int8/04_yolov8n_LiteRT_INT8.tflite,1,2,EDGE_TEST_002_image_004_d61d9fff_640x640.jpg,44.152714999995624,22.648663847740714,64.7,820.921875,823.53125,47.95,1,1,0,1,0
04_tflite_int8,LiteRT/TFLite INT8,/home/tanishk/rock_edge_project/02_selected_model/04_tflite_int8/04_yolov8n_LiteRT_INT8.tflite,1,3,EDGE_TEST_003_image_008_dccce67e_640x640.jpg,42.92670300003465,23.295523068687405,63.2,823.53125,823.640625,47.95,1,1,0,1,0
04_tflite_int8,LiteRT/TFLite INT8,/home/tanishk/rock_edge_project/02_selected_model/04_tflite_int8/04_yolov8n_LiteRT_INT8.tflite,1,4,EDGE_TEST_004_image_014_451c0409_640x640.jpg,43.89905400000771,22.77953415578897,62.5,823.640625,823.640625,48.5,1,1,0,1,0
04_tflite_int8,LiteRT/TFLite INT8,/home/tanishk/rock_edge_project/02_selected_model/04_tflite_int8/04_yolov8n_LiteRT_INT8.tflite,1,5,EDGE_TEST_005_image_018_aec5c6c0_640x640.jpg,42.85220400004164,23.336022576552384,64.7,823.640625,823.640625,49.05,1,1,0,1,0
04_tflite_int8,LiteRT/TFLite INT8,/home/tanishk/rock_edge_project/02_selected_model/04_tflite_int8/04_yolov8n_LiteRT_INT8.tflite,1,6,EDGE_TEST_006_image_021_f416e021_640x640.jpg,42.74918800001615,23.392257181577865,65.0,823.640625,823.71875,49.6,1,1,0,1,0
04_tflite_int8,LiteRT/TFLite INT8,/home/tanishk/rock_edge_project/02_selected_model/04_tflite_int8/04_yolov8n_LiteRT_INT8.tflite,1,7,EDGE_TEST_007_image_024_9edd3cd5_640x640.jpg,42.72409600002902,23.4059955300007,64.7,823.71875,823.71875,49.05,1,0,1,0,0
04_tflite_int8,LiteRT/TFLite INT8,/home/tanishk/rock_edge_project/02_selected_model/04_tflite_int8/04_yolov8n_LiteRT_INT8.tflite,1,8,EDGE_TEST_008_image_035_d26df087_640x640.jpg,42.63676400000804,23.453937545537258,62.5,823.71875,823.71875,49.05,1,0,1,0,0
04_tflite_int8,LiteRT/TFLite INT8,/home/tanishk/rock_edge_project/02_selected_model/04_tflite_int8/04_yolov8n_LiteRT_INT8.tflite,1,9,EDGE_TEST_009_image_049_260ef98f_640x640.jpg,43.10175499995239,23.200911424630032,66.7,823.71875,823.71875,50.15,1,1,0,1,0
04_tflite_int8,LiteRT/TFLite INT8,/home/tanishk/rock_edge_project/02_selected_model/04_tflite_int8/04_yolov8n_LiteRT_INT8.tflite,1,10,EDGE_TEST_010_image_052_44122540_640x640.jpg,43.95186800002193,22.752161523589873,61.1,823.71875,823.71875,49.05,1,1,0,1,0
04_tflite_int8,LiteRT/TFLite INT8,/home/tanishk/rock_edge_project/02_selected_model/04_tflite_int8/04_yolov8n_LiteRT_INT8.tflite,1,11,EDGE_TEST_011_image_053_48518c21_640x640.jpg,43.947978000005605,22.754175402560556,63.2,823.71875,823.71875,50.15,1,1,0,1,0
04_tflite_int8,LiteRT/TFLite INT8,/home/tanishk/rock_edge_project/02_selected_model/04_tflite_int8/04_yolov8n_LiteRT_INT8.tflite,1,12,EDGE_TEST_012_image_054_abfc3115_640x640.jpg,44.05836500006899,22.697165453108262,61.1,823.71875,823.71875,49.05,1,1,0,1,0
