format_folder,format,model_path,pass,image_index,image,latency_ms,fps,cpu_percent,rss_before_mb,rss_after_mb,temperature_c,ground_truth_count,predicted_count,absolute_count_error,completely_exposed_count,half_buried_count
05_ncnn_fp32,NCNN FP32,/home/tanishk/rock_edge_project/02_selected_model/05_ncnn_fp32/05_yolov8n_FP32_ncnn_model,1,1,EDGE_TEST_001_image_002_20794bef_640x640.jpg,70.79528700000992,14.125234071017466,86.2,828.71875,829.90625,47.95,1,1,0,1,0
05_ncnn_fp32,NCNN FP32,/home/tanishk/rock_edge_project/02_selected_model/05_ncnn_fp32/05_yolov8n_FP32_ncnn_model,1,2,EDGE_TEST_002_image_004_d61d9fff_640x640.jpg,73.48008999997546,13.60912867690192,85.7,831.4375,833.796875,46.85,1,1,0,1,0
05_ncnn_fp32,NCNN FP32,/home/tanishk/rock_edge_project/02_selected_model/05_ncnn_fp32/05_yolov8n_FP32_ncnn_model,1,3,EDGE_TEST_003_image_008_dccce67e_640x640.jpg,72.30346000005738,13.830596765344374,86.2,833.8125,833.921875,46.85,1,1,0,1,0
05_ncnn_fp32,NCNN FP32,/home/tanishk/rock_edge_project/02_selected_model/05_ncnn_fp32/05_yolov8n_FP32_ncnn_model,1,4,EDGE_TEST_004_image_014_451c0409_640x640.jpg,72.58327999988978,13.777277632004486,86.2,833.921875,833.921875,48.5,1,1,0,1,0
05_ncnn_fp32,NCNN FP32,/home/tanishk/rock_edge_project/02_selected_model/05_ncnn_fp32/05_yolov8n_FP32_ncnn_model,1,5,EDGE_TEST_005_image_018_aec5c6c0_640x640.jpg,73.7388910001755,13.561364789139832,86.2,833.921875,834.28125,48.5,1,1,0,1,0
05_ncnn_fp32,NCNN FP32,/home/tanishk/rock_edge_project/02_selected_model/05_ncnn_fp32/05_yolov8n_FP32_ncnn_model,1,6,EDGE_TEST_006_image_021_f416e021_640x640.jpg,71.98908800000936,13.890994146222132,89.3,834.28125,834.28125,47.95,1,1,0,1,0
05_ncnn_fp32,NCNN FP32,/home/tanishk/rock_edge_project/02_selected_model/05_ncnn_fp32/05_yolov8n_FP32_ncnn_model,1,7,EDGE_TEST_007_image_024_9edd3cd5_640x640.jpg,71.57015500001762,13.972304517151791,86.7,834.28125,834.421875,49.6,1,0,1,0,0
05_ncnn_fp32,NCNN FP32,/home/tanishk/rock_edge_project/02_selected_model/05_ncnn_fp32/05_yolov8n_FP32_ncnn_model,1,8,EDGE_TEST_008_image_035_d26df087_640x640.jpg,72.7357480000137,13.748397830456238,86.7,834.421875,834.421875,48.5,1,0,1,0,0
05_ncnn_fp32,NCNN FP32,/home/tanishk/rock_edge_project/02_selected_model/05_ncnn_fp32/05_yolov8n_FP32_ncnn_model,1,9,EDGE_TEST_009_image_049_260ef98f_640x640.jpg,71.84066000013445,13.919693944879244,86.2,834.421875,834.421875,48.5,1,1,0,1,0
05_ncnn_fp32,NCNN FP32,/home/tanishk/rock_edge_project/02_selected_model/05_ncnn_fp32/05_yolov8n_FP32_ncnn_model,1,10,EDGE_TEST_010_image_052_44122540_640x640.jpg,74.8168390000501,13.36597500462871,83.3,834.421875,834.421875,49.05,1,1,0,1,0
05_ncnn_fp32,NCNN FP32,/home/tanishk/rock_edge_project/02_selected_model/05_ncnn_fp32/05_yolov8n_FP32_ncnn_model,1,11,EDGE_TEST_011_image_053_48518c21_640x640.jpg,74.89317300019138,13.352351889236214,83.3,834.421875,834.421875,48.5,1,1,0,1,0
05_ncnn_fp32,NCNN FP32,/home/tanishk/rock_edge_project/02_selected_model/05_ncnn_fp32/05_yolov8n_FP32_ncnn_model,1,12,EDGE_TEST_012_image_054_abfc3115_640x640.jpg,75.40534800000387,13.26165884149157,83.9,834.4375,834.4375,48.5,1,1,0,1,0
05_ncnn_fp32,NCNN FP32,/home/tanishk/rock_edge_project/02_selected_model/05_ncnn_fp32/05_yolov8n_FP32_ncnn_model,1,13,EDGE_TEST_013_image_057_5de4c210_640x640.jpg,74.59716900007152,13.40533445711648,82.8,834.4375,834.4375,49.05,1,1,0,1,0
05_ncnn_fp32,NCNN FP32,/home/tanishk/rock_edge_project/02_selected_model/05_ncnn_fp32/05_yolov8n_FP32_ncnn_model,1,14,EDGE_TEST_014_image_063_39cb7a62_640x640.jpg,75.64266700001099,13.220052116880739,80.6,834.4375,834.4375,48.5,2,1,1,1,0
05_ncnn_fp32,NCNN FP32,/home/tanishk/rock_edge_project/02_selected_model/05_ncnn_fp32/05_yolov8n_FP32_ncnn_model,1,15,EDGE_TEST_015_image_068_473a1c63_640x640.jpg,74.71076199999516,13.384952491852042,82.8,834.4375,834.4375,50.15,1,1,0,1,0
05_ncnn_fp32,NCNN FP32,/home/tanishk/rock_edge_project/02_selected_model/05_ncnn_fp32/05_yolov8n_FP32_ncnn_model,1,16,EDGE_TEST_016_image_076_0ed6e178_640x640.jpg,75.69761200011271,13.210456361536359,83.3,834.4375,834.4375,50.15,1,1,0,1,0
05_ncnn_fp32,NCNN FP32,/home/tanishk/rock_edge_project/02_selected_model/05_ncnn_fp32/05_yolov8n_FP32_ncnn_model,1,17,EDGE_TEST_017_image_077_0ea2da12_640x640.jpg,75.06728699991072,13.321381922343742,83.3,834.4375,834.703125,50.15,1,1,0,1,0
05_ncnn_fp32,NCNN FP32,/home/tanishk/rock_edge_project/02_selected_model/05_ncnn_fp32/05_yolov8n_FP32_ncnn_model,1,18,EDGE_TEST_018_image_085_8809c5f8_640x640.jpg,75.57800299991868,13.231363099142431,83.3,834.703125,834.703125,50.15,1,1,0,1,0
05_ncnn_fp32,NCNN FP32,/home/tanishk/rock_edge_project/02_selected_model/05_ncnn_fp32/05_yolov8n_FP32_ncnn_model,1,19,EDGE_TEST_019_image_086_247ac7bc_640x640.jpg,76.63270500006547,13.049258798826763,80.6,834.703125,834.6875,50.15,1,1,0,1,0
05_ncnn_fp32,NCNN FP32,/home/tanishk/rock_edge_project/02_selected_model/05_ncnn_fp32/05_yolov8n_FP32_ncnn_model,1,20,EDGE_TEST_020_image_088_393f5523_640x640.jpg,76.29119900002479,13.107671829874834,83.9,834.6875,834.6875,51.25,1,0,1,0,0
05_ncnn_fp32,NCNN FP32,/home/tanishk/rock_edge_project/02_selected_model/05_ncnn_fp32/05_yolov8n_FP32_ncnn_model,1,21,EDGE_TEST_021_image_093_1b3ac379_640x640.jpg,77.40482899998824,12.919090616428491,80.0,834.6875,834.875,50.7,1,1,0,1,0
05_ncnn_fp32,NCNN FP32,/home/tanishk/rock_edge_project/02_selected_model/05_ncnn_fp32/05_yolov8n_FP32_ncnn_model,1,22,EDGE_TEST_022_image_094_b2a4a867_640x640.jpg,75.54370599996219,13.237370165563503,80.0,834.875,834.875,51.25,1,1,0,1,0
05_ncnn_fp32,NCNN FP32,/home/tanishk/rock_edge_project/02_selected_model/05_ncnn_fp32/05_yolov8n_FP32_ncnn_model,1,23,EDGE_TEST_023_image_096_b8cf692b_640x640.jpg,75.5216500001552,13.241236122329754,86.2,834.875,834.875,50.7,1,1,0,1,0
