format_folder,format,model_path,pass,image_index,image,latency_ms,fps,cpu_percent,rss_before_mb,rss_after_mb,temperature_c,ground_truth_count,predicted_count,absolute_count_error,completely_exposed_count,half_buried_count
01_pytorch_fp32,PyTorch FP32,/home/tanishk/rock_edge_project/02_selected_model/01_pytorch_fp32/01_yolov8n_PyTorch_FP32.pt,1,1,EDGE_TEST_001_image_002_20794bef_640x640.jpg,399.37149299998964,2.5039343506674023,46.0,821.25,803.609375,50.15,1,1,0,1,0
01_pytorch_fp32,PyTorch FP32,/home/tanishk/rock_edge_project/02_selected_model/01_pytorch_fp32/01_yolov8n_PyTorch_FP32.pt,1,2,EDGE_TEST_002_image_004_d61d9fff_640x640.jpg,396.9947890000185,2.5189247509240063,43.6,804.921875,824.75,50.7,1,1,0,1,0
01_pytorch_fp32,PyTorch FP32,/home/tanishk/rock_edge_project/02_selected_model/01_pytorch_fp32/01_yolov8n_PyTorch_FP32.pt,1,3,EDGE_TEST_003_image_008_dccce67e_640x640.jpg,396.9764739999846,2.5190409646291503,43.2,824.75,805.96875,51.25,1,1,0,1,0
01_pytorch_fp32,PyTorch FP32,/home/tanishk/rock_edge_project/02_selected_model/01_pytorch_fp32/01_yolov8n_PyTorch_FP32.pt,1,4,EDGE_TEST_004_image_014_451c0409_640x640.jpg,396.6472589999057,2.5211317544998786,43.9,805.96875,824.765625,51.25,1,1,0,1,0
01_pytorch_fp32,PyTorch FP32,/home/tanishk/rock_edge_project/02_selected_model/01_pytorch_fp32/01_yolov8n_PyTorch_FP32.pt,1,5,EDGE_TEST_005_image_018_aec5c6c0_640x640.jpg,396.2451360000614,2.5236902844905713,43.1,824.765625,805.984375,50.7,1,1,0,1,0
01_pytorch_fp32,PyTorch FP32,/home/tanishk/rock_edge_project/02_selected_model/01_pytorch_fp32/01_yolov8n_PyTorch_FP32.pt,1,6,EDGE_TEST_006_image_021_f416e021_640x640.jpg,398.025500000017,2.5124018436003652,45.3,805.984375,824.796875,51.8,1,1,0,1,0
01_pytorch_fp32,PyTorch FP32,/home/tanishk/rock_edge_project/02_selected_model/01_pytorch_fp32/01_yolov8n_PyTorch_FP32.pt,1,7,EDGE_TEST_007_image_024_9edd3cd5_640x640.jpg,396.9339880000007,2.5193105912613314,45.6,824.796875,808.140625,51.25,1,0,1,0,0
01_pytorch_fp32,PyTorch FP32,/home/tanishk/rock_edge_project/02_selected_model/01_pytorch_fp32/01_yolov8n_PyTorch_FP32.pt,1,8,EDGE_TEST_008_image_035_d26df087_640x640.jpg,396.1717269999099,2.5241579139750865,44.3,808.140625,826.859375,52.9,1,0,1,0,0
01_pytorch_fp32,PyTorch FP32,/home/tanishk/rock_edge_project/02_selected_model/01_pytorch_fp32/01_yolov8n_PyTorch_FP32.pt,1,9,EDGE_TEST_009_image_049_260ef98f_640x640.jpg,394.56282100002227,2.5344506546904064,44.6,826.859375,808.140625,54.0,1,1,0,1,0
01_pytorch_fp32,PyTorch FP32,/home/tanishk/rock_edge_project/02_selected_model/01_pytorch_fp32/01_yolov8n_PyTorch_FP32.pt,1,10,EDGE_TEST_010_image_052_44122540_640x640.jpg,399.7760059999109,2.501400746897809,45.0,808.140625,826.859375,52.9,1,1,0,1,0
01_pytorch_fp32,PyTorch FP32,/home/tanishk/rock_edge_project/02_selected_model/01_pytorch_fp32/01_yolov8n_PyTorch_FP32.pt,1,11,EDGE_TEST_011_image_053_48518c21_640x640.jpg,395.96076500004074,2.5255027477277885,43.9,826.875,808.15625,53.45,1,1,0,1,0
01_pytorch_fp32,PyTorch FP32,/home/tanishk/rock_edge_project/02_selected_model/01_pytorch_fp32/01_yolov8n_PyTorch_FP32.pt,1,12,EDGE_TEST_012_image_054_abfc3115_640x640.jpg,399.163352999949,2.505240003834039,46.3,808.15625,826.890625,54.0,1,1,0,1,0
01_pytorch_fp32,PyTorch FP32,/home/tanishk/rock_edge_project/02_selected_model/01_pytorch_fp32/01_yolov8n_PyTorch_FP32.pt,1,13,EDGE_TEST_013_image_057_5de4c210_640x640.jpg,394.92502799998874,2.5321261735785163,43.1,826.890625,808.171875,53.45,1,1,0,1,0
01_pytorch_fp32,PyTorch FP32,/home/tanishk/rock_edge_project/02_selected_model/01_pytorch_fp32/01_yolov8n_PyTorch_FP32.pt,1,14,EDGE_TEST_014_image_063_39cb7a62_640x640.jpg,399.39340099999754,2.503797001893895,45.3,808.171875,826.890625,52.9,2,1,1,1,0
01_pytorch_fp32,PyTorch FP32,/home/tanishk/rock_edge_project/02_selected_model/01_pytorch_fp32/01_yolov8n_PyTorch_FP32.pt,1,15,EDGE_TEST_015_image_068_473a1c63_640x640.jpg,395.5473979999624,2.528142025598902,43.6,826.890625,808.171875,54.55,1,1,0,1,0
01_pytorch_fp32,PyTorch FP32,/home/tanishk/rock_edge_project/02_selected_model/01_pytorch_fp32/01_yolov8n_PyTorch_FP32.pt,1,16,EDGE_TEST_016_image_076_0ed6e178_640x640.jpg,399.2387160000135,2.504767097788097,41.7,808.171875,826.890625,54.0,1,1,0,1,0
01_pytorch_fp32,PyTorch FP32,/home/tanishk/rock_edge_project/02_selected_model/01_pytorch_fp32/01_yolov8n_PyTorch_FP32.pt,1,17,EDGE_TEST_017_image_077_0ea2da12_640x640.jpg,395.95658999996886,2.5255293768442613,42.9,826.890625,808.171875,53.45,1,1,0,1,0
01_pytorch_fp32,PyTorch FP32,/home/tanishk/rock_edge_project/02_selected_model/01_pytorch_fp32/01_yolov8n_PyTorch_FP32.pt,1,18,EDGE_TEST_018_image_085_8809c5f8_640x640.jpg,399.2544159999625,2.5046686020877824,43.9,808.171875,826.890625,55.1,1,1,0,1,0
01_pytorch_fp32,PyTorch FP32,/home/tanishk/rock_edge_project/02_selected_model/01_pytorch_fp32/01_yolov8n_PyTorch_FP32.pt,1,19,EDGE_TEST_019_image_086_247ac7bc_640x640.jpg,394.94116899993514,2.5320226871566387,42.4,826.890625,808.171875,55.1,1,1,0,1,0
01_pytorch_fp32,PyTorch FP32,/home/tanishk/rock_edge_project/02_selected_model/01_pytorch_fp32/01_yolov8n_PyTorch_FP32.pt,1,20,EDGE_TEST_020_image_088_393f5523_640x640.jpg,399.27969000007124,2.504510059101232,42.5,808.171875,826.890625,55.1,1,0,1,0,0
01_pytorch_fp32,PyTorch FP32,/home/tanishk/rock_edge_project/02_selected_model/01_pytorch_fp32/01_yolov8n_PyTorch_FP32.pt,1,21,EDGE_TEST_021_image_093_1b3ac379_640x640.jpg,397.5068070000134,2.515680190603544,44.9,826.890625,808.296875,55.1,1,1,0,1,0
01_pytorch_fp32,PyTorch FP32,/home/tanishk/rock_edge_project/02_selected_model/01_pytorch_fp32/01_yolov8n_PyTorch_FP32.pt,1,22,EDGE_TEST_022_image_094_b2a4a867_640x640.jpg,400.825038999983,2.4948541201290633,45.7,808.296875,823.359375,54.55,1,1,0,1,0
01_pytorch_fp32,PyTorch FP32,/home/tanishk/rock_edge_project/02_selected_model/01_pytorch_fp32/01_yolov8n_PyTorch_FP32.pt,1,23,EDGE_TEST_023_image_096_b8cf692b_640x640.jpg,400.0168359999634,2.4998947794289625,43.9,823.359375,823.359375,55.65,1,1,0,1,0
01_pytorch_fp32,PyTorch FP32,/home/tanishk/rock_edge_project/02_selected_model/01_pytorch_fp32/01_yolov8n_PyTorch_FP32.pt,1,24,EDGE_TEST_024_image_104_208f797f_640x640.jpg,397.03766700006327,2.518652720170856,46.3,823.359375,823.53125,55.1,1,1,0,1,0
01_pytorch_fp32,PyTorch FP32,/home/tanishk/rock_edge_project/02_selected_model/01_pytorch_fp32/01_yolov8n_PyTorch_FP32.pt,1,25,EDGE_TEST_025_image_107_dc60bc59_640x640.jpg,397.4620239999922,2.515963638327418,45.6,823.53125,824.78125,55.65,1,1,0,1,0
01_pytorch_fp32,PyTorch FP32,/home/tanishk/rock_edge_project/02_selected_model/01_pytorch_fp32/01_yolov8n_PyTorch_FP32.pt,1,26,EDGE_TEST_026_image_108_bce27ae2_640x640.jpg,398.1586370000514,2.511561742160251,42.5,824.78125,823.5625,55.1,1,1,0,1,0
01_pytorch_fp32,PyTorch FP32,/home/tanishk/rock_edge_project/02_selected_model/01_pytorch_fp32/01_yolov8n_PyTorch_FP32.pt,1,27,EDGE_TEST_027_image_111_62d4323c_640x640.jpg,397.4351150000075,2.5161339857953444,46.3,823.5625,824.78125,56.2,1,1,0,1,0
01_pytorch_fp32,PyTorch FP32,/home/tanishk/rock_edge_project/02_selected_model/01_pytorch_fp32/01_yolov8n_PyTorch_FP32.pt,1,28,EDGE_TEST_028_image_116_98db83fc_640x640.jpg,397.5092419999555,2.515664780443298,47.0,824.78125,823.5625,56.2,1,0,1,0,0
01_pytorch_fp32,PyTorch FP32,/home/tanishk/rock_edge_project/02_selected_model/01_pytorch_fp32/01_yolov8n_PyTorch_FP32.pt,1,29,EDGE_TEST_029_image_127_6c0965ef_640x640.jpg,397.27067199999055,2.517175493891036,44.6,823.5625,824.78125,56.2,1,1,0,1,0
01_pytorch_fp32,PyTorch FP32,/home/tanishk/rock_edge_project/02_selected_model/01_pytorch_fp32/01_yolov8n_PyTorch_FP32.pt,1,30,EDGE_TEST_030_image_136_81dc6b0a_640x640.jpg,397.257929000034,2.5172562383264965,46.3,824.78125,823.5625,55.65,1,1,0,0,1
01_pytorch_fp32,PyTorch FP32,/home/tanishk/rock_edge_project/02_selected_model/01_pytorch_fp32/01_yolov8n_PyTorch_FP32.pt,1,31,EDGE_TEST_031_image_140_2b0d436f_640x640.jpg,397.8726560000041,2.5133669904673965,45.3,823.5625,824.78125,57.3,1,1,0,1,0
01_pytorch_fp32,PyTorch FP32,/home/tanishk/rock_edge_project/02_selected_model/01_pytorch_fp32/01_yolov8n_PyTorch_FP32.pt,1,32,EDGE_TEST_032_image_153_8f06f1d3_640x640.jpg,398.21655200000805,2.5111964708086263,43.5,824.78125,823.5625,57.3,1,0,1,0,0
01_pytorch_fp32,PyTorch FP32,/home/tanishk/rock_edge_project/02_selected_model/01_pytorch_fp32/01_yolov8n_PyTorch_FP32.pt,1,33,EDGE_TEST_033_image_154_ff284326_640x640.jpg,395.61855800002377,2.5276872881174093,44.2,823.5625,824.78125,56.75,2,0,2,0,0
