image,label,width,height,file_size_bytes,stratum,class_0_objects,class_1_objects
/content/Rock_Burial_RaspberryPi_Edge_Deployment_FINAL_OPTIMIZED/04_int8_calibration_200/images/train/image_247_abf1dc99.jpg,/content/Rock_Burial_RaspberryPi_Edge_Deployment_FINAL_OPTIMIZED/04_int8_calibration_200/labels/train/image_247_abf1dc99.txt,3024,4032,5388322,class_0_only,1,0
/content/Rock_Burial_RaspberryPi_Edge_Deployment_FINAL_OPTIMIZED/04_int8_calibration_200/images/train/image_080_d7eeabb9.jpg,/content/Rock_Burial_RaspberryPi_Edge_Deployment_FINAL_OPTIMIZED/04_int8_calibration_200/labels/train/image_080_d7eeabb9.txt,3024,4032,6207194,class_0_only,1,0
/content/Rock_Burial_RaspberryPi_Edge_Deployment_FINAL_OPTIMIZED/04_int8_calibration_200/images/train/image_402_76ee5058.jpg,/content/Rock_Burial_RaspberryPi_Edge_Deployment_FINAL_OPTIMIZED/04_int8_calibration_200/labels/train/image_402_76ee5058.txt,3024,4032,7271968,class_0_only,1,0
/content/Rock_Burial_RaspberryPi_Edge_Deployment_FINAL_OPTIMIZED/04_int8_calibration_200/images/train/image_227_52660439.jpg,/content/Rock_Burial_RaspberryPi_Edge_Deployment_FINAL_OPTIMIZED/04_int8_calibration_200/labels/train/image_227_52660439.txt,3024,4032,6151428,class_0_only,1,0
/content/Rock_Burial_RaspberryPi_Edge_Deployment_FINAL_OPTIMIZED/04_int8_calibration_200/images/train/image_169_7c954486.jpg,/content/Rock_Burial_RaspberryPi_Edge_Deployment_FINAL_OPTIMIZED/04_int8_calibration_200/labels/train/image_169_7c954486.txt,3024,4032,5901392,class_0_only,1,0
/content/Rock_Burial_RaspberryPi_Edge_Deployment_FINAL_OPTIMIZED/04_int8_calibration_200/images/train/image_065_91a6b7c1.jpg,/content/Rock_Burial_RaspberryPi_Edge_Deployment_FINAL_OPTIMIZED/04_int8_calibration_200/labels/train/image_065_91a6b7c1.txt,3024,4032,5508506,class_0_only,1,0
/content/Rock_Burial_RaspberryPi_Edge_Deployment_FINAL_OPTIMIZED/04_int8_calibration_200/images/train/image_221_7622d765.jpg,/content/Rock_Burial_RaspberryPi_Edge_Deployment_FINAL_OPTIMIZED/04_int8_calibration_200/labels/train/image_221_7622d765.txt,3024,4032,7657385,class_0_only,1,0
/content/Rock_Burial_RaspberryPi_Edge_Deployment_FINAL_OPTIMIZED/04_int8_calibration_200/images/train/image_233_68afc1df.jpg,/content/Rock_Burial_RaspberryPi_Edge_Deployment_FINAL_OPTIMIZED/04_int8_calibration_200/labels/train/image_233_68afc1df.txt,3024,4032,7032936,class_0_only,1,0
/content/Rock_Burial_RaspberryPi_Edge_Deployment_FINAL_OPTIMIZED/04_int8_calibration_200/images/train/image_185_0c058806.jpg,/content/Rock_Burial_RaspberryPi_Edge_Deployment_FINAL_OPTIMIZED/04_int8_calibration_200/labels/train/image_185_0c058806.txt,3024,4032,5552998,class_0_only,1,0
/content/Rock_Burial_RaspberryPi_Edge_Deployment_FINAL_OPTIMIZED/04_int8_calibration_200/images/train/image_120_49941cf5.jpg,/content/Rock_Burial_RaspberryPi_Edge_Deployment_FINAL_OPTIMIZED/04_int8_calibration_200/labels/train/image_120_49941cf5.txt,3024,4032,6607167,class_0_only,1,0
/content/Rock_Burial_RaspberryPi_Edge_Deployment_FINAL_OPTIMIZED/04_int8_calibration_200/images/train/image_003_c06807d6.jpg,/content/Rock_Burial_RaspberryPi_Edge_Deployment_FINAL_OPTIMIZED/04_int8_calibration_200/labels/train/image_003_c06807d6.txt,2268,4032,3806619,class_0_only,1,0
/content/Rock_Burial_RaspberryPi_Edge_Deployment_FINAL_OPTIMIZED/04_int8_calibration_200/images/train/image_011_0599f01c.jpg,/content/Rock_Burial_RaspberryPi_Edge_Deployment_FINAL_OPTIMIZED/04_int8_calibration_200/labels/train/image_011_0599f01c.txt,2268,4032,3471267,class_0_only,1,0
/content/Rock_Burial_RaspberryPi_Edge_Deployment_FINAL_OPTIMIZED/04_int8_calibration_200/images/train/image_206_367c6d33.jpg,/content/Rock_Burial_RaspberryPi_Edge_Deployment_FINAL_OPTIMIZED/04_int8_calibration_200/labels/train/image_206_367c6d33.txt,3024,4032,6614797,class_0_only,1,0
/content/Rock_Burial_RaspberryPi_Edge_Deployment_FINAL_OPTIMIZED/04_int8_calibration_200/images/train/image_393_3b98f3a1.jpg,/content/Rock_Burial_RaspberryPi_Edge_Deployment_FINAL_OPTIMIZED/04_int8_calibration_200/labels/train/image_393_3b98f3a1.txt,3024,4032,8218789,class_0_only,1,0
/content/Rock_Burial_RaspberryPi_Edge_Deployment_FINAL_OPTIMIZED/04_int8_calibration_200/images/train/image_082_206a328e.jpg,/content/Rock_Burial_RaspberryPi_Edge_Deployment_FINAL_OPTIMIZED/04_int8_calibration_200/labels/train/image_082_206a328e.txt,3024,4032,6350052,class_0_only,1,0
/content/Rock_Burial_RaspberryPi_Edge_Deployment_FINAL_OPTIMIZED/04_int8_calibration_200/images/train/image_030_9ffb46d8.jpg,/content/Rock_Burial_RaspberryPi_Edge_Deployment_FINAL_OPTIMIZED/04_int8_calibration_200/labels/train/image_030_9ffb46d8.txt,2268,4032,3211612,class_0_only,1,0
/content/Rock_Burial_RaspberryPi_Edge_Deployment_FINAL_OPTIMIZED/04_int8_calibration_200/images/train/image_243_5a2f7b4c.jpg,/content/Rock_Burial_RaspberryPi_Edge_Deployment_FINAL_OPTIMIZED/04_int8_calibration_200/labels/train/image_243_5a2f7b4c.txt,3024,4032,7181627,class_0_only,1,0
/content/Rock_Burial_RaspberryPi_Edge_Deployment_FINAL_OPTIMIZED/04_int8_calibration_200/images/train/image_059_08570555.jpg,/content/Rock_Burial_RaspberryPi_Edge_Deployment_FINAL_OPTIMIZED/04_int8_calibration_200/labels/train/image_059_08570555.txt,3024,4032,6468977,class_0_only,1,0
/content/Rock_Burial_RaspberryPi_Edge_Deployment_FINAL_OPTIMIZED/04_int8_calibration_200/images/train/image_183_2d821b53.jpg,/content/Rock_Burial_RaspberryPi_Edge_Deployment_FINAL_OPTIMIZED/04_int8_calibration_200/labels/train/image_183_2d821b53.txt,3024,4032,5611921,class_0_only,1,0
/content/Rock_Burial_RaspberryPi_Edge_Deployment_FINAL_OPTIMIZED/04_int8_calibration_200/images/train/image_070_f01598f0.jpg,/content/Rock_Burial_RaspberryPi_Edge_Deployment_FINAL_OPTIMIZED/04_int8_calibration_200/labels/train/image_070_f01598f0.txt,3024,4032,5191267,class_0_only,1,0
/content/Rock_Burial_RaspberryPi_Edge_Deployment_FINAL_OPTIMIZED/04_int8_calibration_200/images/train/image_427_c5dc048e.jpg,/content/Rock_Burial_RaspberryPi_Edge_Deployment_FINAL_OPTIMIZED/04_int8_calibration_200/labels/train/image_427_c5dc048e.txt,3024,4032,7804997,class_0_only,1,0
/content/Rock_Burial_RaspberryPi_Edge_Deployment_FINAL_OPTIMIZED/04_int8_calibration_200/images/train/image_248_346c2929.jpg,/content/Rock_Burial_RaspberryPi_Edge_Deployment_FINAL_OPTIMIZED/04_int8_calibration_200/labels/train/image_248_346c2929.txt,3024,4032,7366823,class_0_only,1,0
/content/Rock_Burial_RaspberryPi_Edge_Deployment_FINAL_OPTIMIZED/04_int8_calibration_200/images/train/image_031_55eae220.jpg,/content/Rock_Burial_RaspberryPi_Edge_Deployment_FINAL_OPTIMIZED/04_int8_calibration_200/labels/train/image_031_55eae220.txt,2268,4032,3698477,class_0_only,1,0
/content/Rock_Burial_RaspberryPi_Edge_Deployment_FINAL_OPTIMIZED/04_int8_calibration_200/images/train/image_001_85b6caad.jpg,/content/Rock_Burial_RaspberryPi_Edge_Deployment_FINAL_OPTIMIZED/04_int8_calibration_200/labels/train/image_001_85b6caad.txt,2268,4032,3679663,class_0_only,1,0
/content/Rock_Burial_RaspberryPi_Edge_Deployment_FINAL_OPTIMIZED/04_int8_calibration_200/images/train/image_119_95cbe571.jpg,/content/Rock_Burial_RaspberryPi_Edge_Deployment_FINAL_OPTIMIZED/04_int8_calibration_200/labels/train/image_119_95cbe571.txt,3024,4032,7072219,class_0_only,1,0
/content/Rock_Burial_RaspberryPi_Edge_Deployment_FINAL_OPTIMIZED/04_int8_calibration_200/images/train/image_391_729bbe73.jpg,/content/Rock_Burial_RaspberryPi_Edge_Deployment_FINAL_OPTIMIZED/04_int8_calibration_200/labels/train/image_391_729bbe73.txt,3024,4032,8178626,class_0_only,1,0
/content/Rock_Burial_RaspberryPi_Edge_Deployment_FINAL_OPTIMIZED/04_int8_calibration_200/images/train/image_404_6f2b5e64.jpg,/content/Rock_Burial_RaspberryPi_Edge_Deployment_FINAL_OPTIMIZED/04_int8_calibration_200/labels/train/image_404_6f2b5e64.txt,3024,4032,6802659,class_0_only,1,0
/content/Rock_Burial_RaspberryPi_Edge_Deployment_FINAL_OPTIMIZED/04_int8_calibration_200/images/train/image_032_07b0c64a.jpg,/content/Rock_Burial_RaspberryPi_Edge_Deployment_FINAL_OPTIMIZED/04_int8_calibration_200/labels/train/image_032_07b0c64a.txt,2268,4032,2786287,class_0_only,1,0
/content/Rock_Burial_RaspberryPi_Edge_Deployment_FINAL_OPTIMIZED/04_int8_calibration_200/images/train/image_224_0f4bd84e.jpg,/content/Rock_Burial_RaspberryPi_Edge_Deployment_FINAL_OPTIMIZED/04_int8_calibration_200/labels/train/image_224_0f4bd84e.txt,3024,4032,7545471,class_0_only,1,0
/content/Rock_Burial_RaspberryPi_Edge_Deployment_FINAL_OPTIMIZED/04_int8_calibration_200/images/train/image_438_03227882.jpg,/content/Rock_Burial_RaspberryPi_Edge_Deployment_FINAL_OPTIMIZED/04_int8_calibration_200/labels/train/image_438_03227882.txt,3024,4032,8376799,class_0_only,1,0
/content/Rock_Burial_RaspberryPi_Edge_Deployment_FINAL_OPTIMIZED/04_int8_calibration_200/images/train/image_216_eee292bd.jpg,/content/Rock_Burial_RaspberryPi_Edge_Deployment_FINAL_OPTIMIZED/04_int8_calibration_200/labels/train/image_216_eee292bd.txt,3024,4032,6110028,class_0_only,1,0
/content/Rock_Burial_RaspberryPi_Edge_Deployment_FINAL_OPTIMIZED/04_int8_calibration_200/images/train/image_230_bacbe273.jpg,/content/Rock_Burial_RaspberryPi_Edge_Deployment_FINAL_OPTIMIZED/04_int8_calibration_200/labels/train/image_230_bacbe273.txt,3024,4032,7473410,class_0_only,1,0
/content/Rock_Burial_RaspberryPi_Edge_Deployment_FINAL_OPTIMIZED/04_int8_calibration_200/images/train/image_013_d393a1cc.jpg,/content/Rock_Burial_RaspberryPi_Edge_Deployment_FINAL_OPTIMIZED/04_int8_calibration_200/labels/train/image_013_d393a1cc.txt,2268,4032,3654351,class_0_only,1,0
/content/Rock_Burial_RaspberryPi_Edge_Deployment_FINAL_OPTIMIZED/04_int8_calibration_200/images/train/image_006_8979e0be.jpg,/content/Rock_Burial_RaspberryPi_Edge_Deployment_FINAL_OPTIMIZED/04_int8_calibration_200/labels/train/image_006_8979e0be.txt,2268,4032,3567771,class_0_only,1,0
/content/Rock_Burial_RaspberryPi_Edge_Deployment_FINAL_OPTIMIZED/04_int8_calibration_200/images/train/image_162_4775c3a7.jpg,/content/Rock_Burial_RaspberryPi_Edge_Deployment_FINAL_OPTIMIZED/04_int8_calibration_200/labels/train/image_162_4775c3a7.txt,2268,4032,6001125,class_0_only,1,0
/content/Rock_Burial_RaspberryPi_Edge_Deployment_FINAL_OPTIMIZED/04_int8_calibration_200/images/train/image_177_2fc526a0.jpg,/content/Rock_Burial_RaspberryPi_Edge_Deployment_FINAL_OPTIMIZED/04_int8_calibration_200/labels/train/image_177_2fc526a0.txt,3024,4032,6349298,class_0_only,1,0
/content/Rock_Burial_RaspberryPi_Edge_Deployment_FINAL_OPTIMIZED/04_int8_calibration_200/images/train/image_079_276fb2ec.jpg,/content/Rock_Burial_RaspberryPi_Edge_Deployment_FINAL_OPTIMIZED/04_int8_calibration_200/labels/train/image_079_276fb2ec.txt,3024,4032,6310841,class_0_only,1,0
/content/Rock_Burial_RaspberryPi_Edge_Deployment_FINAL_OPTIMIZED/04_int8_calibration_200/images/train/image_081_f3ec9e65.jpg,/content/Rock_Burial_RaspberryPi_Edge_Deployment_FINAL_OPTIMIZED/04_int8_calibration_200/labels/train/image_081_f3ec9e65.txt,3024,4032,6549992,class_0_only,1,0
/content/Rock_Burial_RaspberryPi_Edge_Deployment_FINAL_OPTIMIZED/04_int8_calibration_200/images/train/image_414_e1b35d0e.jpg,/content/Rock_Burial_RaspberryPi_Edge_Deployment_FINAL_OPTIMIZED/04_int8_calibration_200/labels/train/image_414_e1b35d0e.txt,3024,4032,8269156,class_0_only,1,0
/content/Rock_Burial_RaspberryPi_Edge_Deployment_FINAL_OPTIMIZED/04_int8_calibration_200/images/train/image_428_9dd7adc4.jpg,/content/Rock_Burial_RaspberryPi_Edge_Deployment_FINAL_OPTIMIZED/04_int8_calibration_200/labels/train/image_428_9dd7adc4.txt,3024,4032,8343979,class_0_only,1,0
/content/Rock_Burial_RaspberryPi_Edge_Deployment_FINAL_OPTIMIZED/04_int8_calibration_200/images/train/image_029_342b15c7.jpg,/content/Rock_Burial_RaspberryPi_Edge_Deployment_FINAL_OPTIMIZED/04_int8_calibration_200/labels/train/image_029_342b15c7.txt,2268,4032,2888517,class_0_only,1,0
/content/Rock_Burial_RaspberryPi_Edge_Deployment_FINAL_OPTIMIZED/04_int8_calibration_200/images/train/image_118_102600b7.jpg,/content/Rock_Burial_RaspberryPi_Edge_Deployment_FINAL_OPTIMIZED/04_int8_calibration_200/labels/train/image_118_102600b7.txt,3024,4032,6455338,class_0_only,1,0
/content/Rock_Burial_RaspberryPi_Edge_Deployment_FINAL_OPTIMIZED/04_int8_calibration_200/images/train/image_122_b54e82bc.jpg,/content/Rock_Burial_RaspberryPi_Edge_Deployment_FINAL_OPTIMIZED/04_int8_calibration_200/labels/train/image_122_b54e82bc.txt,3024,4032,6798479,class_0_only,1,0
/content/Rock_Burial_RaspberryPi_Edge_Deployment_FINAL_OPTIMIZED/04_int8_calibration_200/images/train/image_074_caba1153.jpg,/content/Rock_Burial_RaspberryPi_Edge_Deployment_FINAL_OPTIMIZED/04_int8_calibration_200/labels/train/image_074_caba1153.txt,3024,4032,5722055,class_0_only,1,0
/content/Rock_Burial_RaspberryPi_Edge_Deployment_FINAL_OPTIMIZED/04_int8_calibration_200/images/train/image_434_0d451ba8.jpg,/content/Rock_Burial_RaspberryPi_Edge_Deployment_FINAL_OPTIMIZED/04_int8_calibration_200/labels/train/image_434_0d451ba8.txt,3024,4032,8173674,class_0_only,1,0
/content/Rock_Burial_RaspberryPi_Edge_Deployment_FINAL_OPTIMIZED/04_int8_calibration_200/images/train/image_125_5398e632.jpg,/content/Rock_Burial_RaspberryPi_Edge_Deployment_FINAL_OPTIMIZED/04_int8_calibration_200/labels/train/image_125_5398e632.txt,3024,4032,6314396,class_0_only,1,0
/content/Rock_Burial_RaspberryPi_Edge_Deployment_FINAL_OPTIMIZED/04_int8_calibration_200/images/train/image_055_ab7356a4.jpg,/content/Rock_Burial_RaspberryPi_Edge_Deployment_FINAL_OPTIMIZED/04_int8_calibration_200/labels/train/image_055_ab7356a4.txt,3024,4032,6526813,class_0_only,1,0
/content/Rock_Burial_RaspberryPi_Edge_Deployment_FINAL_OPTIMIZED/04_int8_calibration_200/images/train/image_037_84fe01a4.jpg,/content/Rock_Burial_RaspberryPi_Edge_Deployment_FINAL_OPTIMIZED/04_int8_calibration_200/labels/train/image_037_84fe01a4.txt,2268,4032,2536022,class_0_only,1,0
/content/Rock_Burial_RaspberryPi_Edge_Deployment_FINAL_OPTIMIZED/04_int8_calibration_200/images/train/image_235_309e9923.jpg,/content/Rock_Burial_RaspberryPi_Edge_Deployment_FINAL_OPTIMIZED/04_int8_calibration_200/labels/train/image_235_309e9923.txt,3024,4032,6550163,class_0_only,1,0
/content/Rock_Burial_RaspberryPi_Edge_Deployment_FINAL_OPTIMIZED/04_int8_calibration_200/images/train/image_115_cd778f10.jpg,/content/Rock_Burial_RaspberryPi_Edge_Deployment_FINAL_OPTIMIZED/04_int8_calibration_200/labels/train/image_115_cd778f10.txt,3024,4032,4212754,class_0_only,1,0
/content/Rock_Burial_RaspberryPi_Edge_Deployment_FINAL_OPTIMIZED/04_int8_calibration_200/images/train/image_128_a07bff6b.jpg,/content/Rock_Burial_RaspberryPi_Edge_Deployment_FINAL_OPTIMIZED/04_int8_calibration_200/labels/train/image_128_a07bff6b.txt,3024,4032,6726809,class_0_only,1,0
/content/Rock_Burial_RaspberryPi_Edge_Deployment_FINAL_OPTIMIZED/04_int8_calibration_200/images/train/image_026_3920b76a.jpg,/content/Rock_Burial_RaspberryPi_Edge_Deployment_FINAL_OPTIMIZED/04_int8_calibration_200/labels/train/image_026_3920b76a.txt,2268,4032,2403669,class_0_only,1,0
/content/Rock_Burial_RaspberryPi_Edge_Deployment_FINAL_OPTIMIZED/04_int8_calibration_200/images/train/image_145_2655d58c.jpg,/content/Rock_Burial_RaspberryPi_Edge_Deployment_FINAL_OPTIMIZED/04_int8_calibration_200/labels/train/image_145_2655d58c.txt,2268,4032,5542910,class_0_only,1,0
