dashboard,sheet,source_csv,recommended_chart,main_fields
1 - Dataset & Training Data,Data Split,01_dataset_dashboard.csv,Bar / Donut,"split, images, actual_split_pct"
1 - Dataset & Training Data,Class Distribution,01_dataset_dashboard.csv,Stacked Bar,"split, rock_completely_exposed_objects, rock_half_buried_objects"
1 - Dataset & Training Data,Augmentation Growth,01_dataset_dashboard.csv,Bar / KPI,"original_train_images, augmented_images_generated, total_yolo_train_images"
1 - Dataset & Training Data,Dataset KPIs,01_dataset_dashboard.csv,KPI Cards,"total_original_images_all_splits, total_original_objects_all_splits, classes"
2 - Model Performance & Selection,YOLO Validation vs Test,02_model_performance_dashboard.csv,Grouped Bar,"model, split, precision, recall, f1, mAP50, mAP50_95"
2 - Model Performance & Selection,Per-Class AP,02_model_performance_dashboard.csv,Grouped Bar,"model, split, class0_AP50, class1_AP50, class0_AP50_95, class1_AP50_95"
2 - Model Performance & Selection,Efficiency,02_model_performance_dashboard.csv,Scatter,"model_size_mb, median_end_to_end_fps, median_end_to_end_latency_ms, parameters"
2 - Model Performance & Selection,CLIP / Selection,02_model_performance_dashboard.csv,Bar + KPI,"task, accuracy, f1, validation_rank, selected_detector"
3 - Raspberry Pi Edge Deployment,FPS & Latency,03_edge_deployment_dashboard.csv,Bar / Scatter,"format, median_fps, mean_latency_ms, p95_latency_ms"
3 - Raspberry Pi Edge Deployment,Accuracy,03_edge_deployment_dashboard.csv,Grouped Bar,"format, precision, recall, f1, mAP50, mAP50_95"
3 - Raspberry Pi Edge Deployment,Resources & Thermal,03_edge_deployment_dashboard.csv,Bars,"mean_cpu_pct, peak_ram_mb, max_temp_c"
3 - Raspberry Pi Edge Deployment,Stability & Winner,03_edge_deployment_dashboard.csv,Status / KPI,"benchmark_status, stability_status, continuous_peak_temp_c, recommendation, final_winner"
